[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5621443986892700]
[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5657109022140503]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5692689418792725]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5728384256362915]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 : 10] [Fitness : Time]: [	2726.3282418922590296 ,	0.5764609575271606]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5800460577011108]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5836119651794434]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5872819423675537]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5909689664840698]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5945470333099365]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.5981529951095581]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6017284393310547]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6052899360656738]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6089830398559570]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6125209331512451]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6161063909530640]
[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6197609901428223]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6234110593795776]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6271419525146484]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6306959390640259]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6343269348144531]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6380869150161743]
[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6416444778442383]
[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6452369689941406]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6488444805145264]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6524385213851929]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6561609506607056]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6596729755401611]
