[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3653144836425781]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3663400411605835]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3673720359802246]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3679050207138062]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3732584714889526]
[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3761700391769409]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3763475418090820]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3792854547500610]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3799220323562622]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3825529813766479]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3826824426651001]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3857759237289429]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3863800764083862]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3881984949111938]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3892478942871094]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3903084993362427]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3908594846725464]
[Cycles : Iteration : Population Size : Dimension] [  2 :  194 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3923959732055664]
[Cycles : Iteration : Population Size : Dimension] [  2 :  195 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3929690122604370]
[Cycles : Iteration : Population Size : Dimension] [  2 :  196 :  30 :  3] [Fitness : Time]: [	3.6475700805925628 ,	0.3945205211639404]
