[Cycles : Iteration : Population Size : Dimension] [  2 :  148 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.1995635032653809]
[Cycles : Iteration : Population Size : Dimension] [  2 :  149 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2008589506149292]
[Cycles : Iteration : Population Size : Dimension] [  2 :  150 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2015255689620972]
[Cycles : Iteration : Population Size : Dimension] [  2 :  151 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2034660577774048]
[Cycles : Iteration : Population Size : Dimension] [  2 :  152 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2047665119171143]
[Cycles : Iteration : Population Size : Dimension] [  2 :  153 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2061104774475098]
[Cycles : Iteration : Population Size : Dimension] [  2 :  154 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2074400186538696]
[Cycles : Iteration : Population Size : Dimension] [  2 :  155 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2088134288787842]
[Cycles : Iteration : Population Size : Dimension] [  2 :  156 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2101659774780273]
[Cycles : Iteration : Population Size : Dimension] [  2 :  157 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2114895582199097]
[Cycles : Iteration : Population Size : Dimension] [  2 :  158 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2128379344940186]
[Cycles : Iteration : Population Size : Dimension] [  2 :  159 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2141144275665283]
[Cycles : Iteration : Population Size : Dimension] [  2 :  160 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2154734134674072]
[Cycles : Iteration : Population Size : Dimension] [  2 :  161 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2163839340209961]
[Cycles : Iteration : Population Size : Dimension] [  2 :  162 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2182040214538574]
[Cycles : Iteration : Population Size : Dimension] [  2 :  163 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2188909053802490]
[Cycles : Iteration : Population Size : Dimension] [  2 :  164 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2203550338745117]
[Cycles : Iteration : Population Size : Dimension] [  2 :  165 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2222349643707275]
[Cycles : Iteration : Population Size : Dimension] [  2 :  166 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2236135005950928]
[Cycles : Iteration : Population Size : Dimension] [  2 :  167 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2249895334243774]
[Cycles : Iteration : Population Size : Dimension] [  2 :  168 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2262665033340454]
[Cycles : Iteration : Population Size : Dimension] [  2 :  169 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2275515794754028]
[Cycles : Iteration : Population Size : Dimension] [  2 :  170 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2282474040985107]
[Cycles : Iteration : Population Size : Dimension] [  2 :  171 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2300579547882080]
[Cycles : Iteration : Population Size : Dimension] [  2 :  172 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2313294410705566]
[Cycles : Iteration : Population Size : Dimension] [  2 :  173 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2337620258331299]
[Cycles : Iteration : Population Size : Dimension] [  2 :  174 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2350425720214844]
[Cycles : Iteration : Population Size : Dimension] [  2 :  175 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2363655567169189]
[Cycles : Iteration : Population Size : Dimension] [  2 :  176 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2376489639282227]
